Cicle,Points,Holesfactors,Linesfactor,Heigthfactor
<<<<<<< HEAD
0,868.6666666666666,1271.8953713950718,445.79156845259223,2048.400214585478
1,819.3333333333334,1271.8953713950718,490.3707252978515,2048.400214585478
2,808.6666666666666,1399.0849085345792,490.3707252978515,2048.400214585478
3,864.0,1538.9933993880372,490.3707252978515,2048.400214585478
4,880.6666666666666,1538.9933993880372,539.4077978276367,2048.400214585478
5,1010.0,1692.8927393268411,539.4077978276367,2048.400214585478
6,1007.3333333333334,1862.1820132595253,539.4077978276367,2048.400214585478
7,946.6666666666666,1862.1820132595253,593.3485776104004,2048.400214585478
8,918.0,2048.400214585478,593.3485776104004,2048.400214585478
9,830.0,2048.400214585478,593.3485776104004,2253.240236044026
10,934.6666666666666,2048.400214585478,652.6834353714405,2253.240236044026
11,879.3333333333334,2253.240236044026,652.6834353714405,2253.240236044026
12,854.0,2253.240236044026,717.9517789085846,2253.240236044026
13,904.0,2253.240236044026,789.7469567994432,2253.240236044026
14,810.6666666666666,2253.240236044026,789.7469567994432,2478.564259648429
15,844.6666666666666,2253.240236044026,789.7469567994432,2726.4206856132723
16,864.0,2478.564259648429,789.7469567994432,2726.4206856132723
17,992.6666666666666,2478.564259648429,868.7216524793876,2726.4206856132723
18,1014.6666666666666,2478.564259648429,955.5938177273264,2726.4206856132723
19,837.3333333333334,2478.564259648429,955.5938177273264,2999.0627541746
20,826.6666666666666,2726.4206856132723,955.5938177273264,2999.0627541746
21,921.3333333333334,2726.4206856132723,1051.1531995000591,2999.0627541746
22,950.0,2999.0627541746,1051.1531995000591,2999.0627541746
23,865.3333333333334,2999.0627541746,1051.1531995000591,3298.96902959206
24,854.6666666666666,2999.0627541746,1051.1531995000591,3628.8659325512663
25,779.3333333333334,3298.96902959206,1051.1531995000591,3628.8659325512663
26,816.6666666666666,3628.8659325512663,1051.1531995000591,3628.8659325512663
27,939.3333333333334,3628.8659325512663,1156.2685194500652,3628.8659325512663
28,862.0,3628.8659325512663,1271.8953713950718,3628.8659325512663
29,751.3333333333334,3991.7525258063934,1271.8953713950718,3628.8659325512663
30,863.3333333333334,4390.927778387033,1271.8953713950718,3628.8659325512663
31,895.3333333333334,4390.927778387033,1271.8953713950718,3991.7525258063934
32,878.6666666666666,4830.020556225737,1271.8953713950718,3991.7525258063934
33,860.6666666666666,4830.020556225737,1271.8953713950718,4390.927778387033
34,716.0,5313.0226118483115,1271.8953713950718,4390.927778387033
35,942.6666666666666,5313.0226118483115,1399.0849085345792,4390.927778387033
36,890.6666666666666,5313.0226118483115,1399.0849085345792,4830.020556225737
37,796.0,5844.324873033143,1399.0849085345792,4830.020556225737
38,910.0,5844.324873033143,1399.0849085345792,5313.0226118483115
39,1008.0,5844.324873033143,1538.9933993880372,5313.0226118483115
40,824.0,5844.324873033143,1692.8927393268411,5313.0226118483115
41,896.0,5844.324873033143,1692.8927393268411,5844.324873033143
42,879.3333333333334,5844.324873033143,1692.8927393268411,6428.757360336458
43,875.3333333333334,5844.324873033143,1692.8927393268411,7071.633096370105
44,886.6666666666666,5844.324873033143,1692.8927393268411,7778.796406007116
45,754.0,6428.757360336458,1692.8927393268411,7778.796406007116
46,896.6666666666666,7071.633096370105,1692.8927393268411,7778.796406007116
47,1049.3333333333333,7778.796406007116,1692.8927393268411,7778.796406007116
48,961.3333333333334,7778.796406007116,1692.8927393268411,8556.676046607829
49,895.3333333333334,7778.796406007116,1692.8927393268411,9412.343651268613
50,890.0,7778.796406007116,1862.1820132595253,9412.343651268613
51,970.0,7778.796406007116,1862.1820132595253,10353.578016395475
52,876.0,8556.676046607829,1862.1820132595253,10353.578016395475
53,989.3333333333334,9412.343651268613,1862.1820132595253,10353.578016395475
54,854.6666666666666,10353.578016395475,1862.1820132595253,10353.578016395475
55,853.3333333333334,10353.578016395475,2048.400214585478,10353.578016395475
56,886.0,11388.935818035023,2048.400214585478,10353.578016395475
57,839.3333333333334,11388.935818035023,2048.400214585478,11388.935818035023
58,1016.6666666666666,11388.935818035023,2253.240236044026,11388.935818035023
59,866.0,12527.829399838525,2253.240236044026,11388.935818035023
60,880.0,13780.612339822379,2253.240236044026,11388.935818035023
61,860.0,13780.612339822379,2253.240236044026,12527.829399838525
62,922.0,13780.612339822379,2253.240236044026,13780.612339822379
63,997.3333333333334,13780.612339822379,2478.564259648429,13780.612339822379
64,755.3333333333334,13780.612339822379,2478.564259648429,15158.673573804617
65,923.3333333333334,13780.612339822379,2726.4206856132723,15158.673573804617
66,898.0,15158.673573804617,2726.4206856132723,15158.673573804617
67,872.0,16674.54093118508,2726.4206856132723,15158.673573804617
68,760.0,16674.54093118508,2999.0627541746,15158.673573804617
69,832.6666666666666,16674.54093118508,2999.0627541746,16674.54093118508
70,994.0,16674.54093118508,2999.0627541746,18341.995024303593
71,1008.6666666666666,18341.995024303593,2999.0627541746,18341.995024303593
72,917.3333333333334,18341.995024303593,3298.96902959206,18341.995024303593
73,878.6666666666666,18341.995024303593,3298.96902959206,20176.194526733954
74,862.0,20176.194526733954,3298.96902959206,20176.194526733954
75,896.0,22193.81397940735,3298.96902959206,20176.194526733954
76,922.6666666666666,24413.19537734809,3298.96902959206,20176.194526733954
77,786.0,24413.19537734809,3628.8659325512663,20176.194526733954
78,827.3333333333334,24413.19537734809,3991.7525258063934,20176.194526733954
79,838.0,24413.19537734809,3991.7525258063934,22193.81397940735
80,874.6666666666666,26854.5149150829,3991.7525258063934,22193.81397940735
81,990.6666666666666,26854.5149150829,4390.927778387033,22193.81397940735
82,780.0,26854.5149150829,4830.020556225737,22193.81397940735
83,898.0,26854.5149150829,5313.0226118483115,22193.81397940735
84,824.6666666666666,26854.5149150829,5844.324873033143,22193.81397940735
85,944.6666666666666,29539.96640659119,5844.324873033143,22193.81397940735
86,964.0,29539.96640659119,6428.757360336458,22193.81397940735
87,918.0,29539.96640659119,6428.757360336458,24413.19537734809
88,758.0,29539.96640659119,7071.633096370105,24413.19537734809
89,866.0,29539.96640659119,7071.633096370105,26854.5149150829
90,897.3333333333334,32493.963047250312,7071.633096370105,26854.5149150829
91,811.3333333333334,32493.963047250312,7071.633096370105,29539.96640659119
92,1034.0,35743.35935197535,7071.633096370105,29539.96640659119
93,894.6666666666666,35743.35935197535,7778.796406007116,29539.96640659119
94,778.6666666666666,39317.695287172886,7778.796406007116,29539.96640659119
95,990.0,39317.695287172886,8556.676046607829,29539.96640659119
96,868.6666666666666,39317.695287172886,9412.343651268613,29539.96640659119
97,1054.6666666666667,43249.46481589018,9412.343651268613,29539.96640659119
98,922.6666666666666,43249.46481589018,9412.343651268613,32493.963047250312
99,787.3333333333334,47574.4112974792,9412.343651268613,32493.963047250312
=======
0,928.0,28.102436848064315,21.1137767453526,30.91268053287075
1,892.0,30.91268053287075,21.1137767453526,30.91268053287075
2,1022.0,30.91268053287075,23.22515441988786,30.91268053287075
3,788.0,30.91268053287075,25.54766986187665,30.91268053287075
4,880.0,34.003948586157826,25.54766986187665,30.91268053287075
5,834.0,34.003948586157826,25.54766986187665,34.003948586157826
6,806.0,34.003948586157826,28.102436848064315,34.003948586157826
7,976.0,37.40434344477361,28.102436848064315,34.003948586157826
8,834.0,37.40434344477361,30.91268053287075,34.003948586157826
9,724.0,41.14477778925097,30.91268053287075,34.003948586157826
10,738.0,45.25925556817607,30.91268053287075,34.003948586157826
11,980.0,45.25925556817607,30.91268053287075,37.40434344477361
12,954.0,45.25925556817607,34.003948586157826,37.40434344477361
13,1024.0,49.785181124993684,34.003948586157826,37.40434344477361
14,1232.0,49.785181124993684,34.003948586157826,41.14477778925097
15,746.0,49.785181124993684,34.003948586157826,45.25925556817607
16,1078.0,54.76369923749306,34.003948586157826,45.25925556817607
17,936.0,54.76369923749306,34.003948586157826,49.785181124993684
18,906.0,54.76369923749306,34.003948586157826,54.76369923749306
19,1046.0,54.76369923749306,34.003948586157826,60.24006916124237
